level,stack_profile,stack,stack_bb,opener_seat,defender_seat,opener_open_fraction,opener_call_fraction,defender_flat_realization,hand,best_action,fold_value,flat_value,jam_value,flat_ev,jam_ev,flat_equity,jam_equity,bb_win_bb_delta,bb_win_opener_delta,bb_win_others_delta,bb_lose_bb_delta,bb_lose_opener_delta,bb_lose_others_delta
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,T3s,jam,-40.000000,-40.000000,-36.147135,0.000000,3.852865,0.350260,0.350260,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,86s,jam,-40.000000,-40.000000,-36.154297,0.000000,3.845703,0.349609,0.349609,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,73s,jam,-40.000000,-40.000000,-36.154297,0.000000,3.845703,0.349609,0.349609,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,87o,jam,-40.000000,-40.000000,-36.175781,0.000000,3.824219,0.347656,0.347656,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,85s,jam,-40.000000,-40.000000,-36.175781,0.000000,3.824219,0.347656,0.347656,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,74s,jam,-40.000000,-40.000000,-36.197266,0.000000,3.802734,0.345703,0.345703,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,63s,jam,-40.000000,-40.000000,-36.197266,0.000000,3.802734,0.345703,0.345703,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,T8s,jam,-40.000000,-40.000000,-36.204427,0.000000,3.795573,0.345052,0.345052,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,65s,jam,-40.000000,-40.000000,-36.218750,0.000000,3.781250,0.343750,0.343750,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,53s,jam,-40.000000,-40.000000,-36.250977,0.000000,3.749023,0.340820,0.340820,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,87s,jam,-40.000000,-40.000000,-36.293945,0.000000,3.706055,0.336914,0.336914,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,53o,jam,-40.000000,-40.000000,-36.297526,0.000000,3.702474,0.336589,0.336589,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,65o,jam,-40.000000,-40.000000,-36.304688,0.000000,3.695312,0.335938,0.335938,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,52o,jam,-40.000000,-40.000000,-36.354818,0.000000,3.645182,0.331380,0.331380,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,32o,jam,-40.000000,-40.000000,-36.365560,0.000000,3.634440,0.330404,0.330404,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,64o,jam,-40.000000,-40.000000,-36.394206,0.000000,3.605794,0.327799,0.327799,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,84s,jam,-40.000000,-40.000000,-36.401367,0.000000,3.598633,0.327148,0.327148,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,62s,jam,-40.000000,-40.000000,-36.412109,0.000000,3.587891,0.326172,0.326172,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,63o,jam,-40.000000,-40.000000,-36.419271,0.000000,3.580729,0.325521,0.325521,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,42o,jam,-40.000000,-40.000000,-36.433594,0.000000,3.566406,0.324219,0.324219,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,43o,jam,-40.000000,-40.000000,-36.440755,0.000000,3.559245,0.323568,0.323568,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,54s,jam,-40.000000,-40.000000,-36.444336,0.000000,3.555664,0.323242,0.323242,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,T6s,jam,-40.000000,-40.000000,-36.447917,0.000000,3.552083,0.322917,0.322917,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,92s,jam,-40.000000,-40.000000,-36.447917,0.000000,3.552083,0.322917,0.322917,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,62o,jam,-40.000000,-40.000000,-36.469401,0.000000,3.530599,0.320964,0.320964,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,96s,jam,-40.000000,-40.000000,-36.476562,0.000000,3.523438,0.320312,0.320312,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,75o,jam,-40.000000,-40.000000,-36.480143,0.000000,3.519857,0.319987,0.319987,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,86o,jam,-40.000000,-40.000000,-36.512370,0.000000,3.487630,0.317057,0.317057,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,T2s,jam,-40.000000,-40.000000,-36.519531,0.000000,3.480469,0.316406,0.316406,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,82s,jam,-40.000000,-40.000000,-36.541016,0.000000,3.458984,0.314453,0.314453,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,83s,jam,-40.000000,-40.000000,-36.551758,0.000000,3.448242,0.313477,0.313477,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,T7s,jam,-40.000000,-40.000000,-36.576823,0.000000,3.423177,0.311198,0.311198,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,T5s,jam,-40.000000,-40.000000,-36.634115,0.000000,3.365885,0.305990,0.305990,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,85o,jam,-40.000000,-40.000000,-36.666341,0.000000,3.333659,0.303060,0.303060,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,84o,jam,-40.000000,-40.000000,-36.673503,0.000000,3.326497,0.302409,0.302409,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,T4s,jam,-40.000000,-40.000000,-36.677083,0.000000,3.322917,0.302083,0.302083,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
