level,stack,stack_bb,postflop_realization,flat_call_fraction,seat,posted,open2bb_wfrac,ai_wfrac,fold_wfrac,open2bb_classes,ai_classes,top_open2bb,top_ai
9,30400,8.000,0.400,0.000,1,950,0.500000,0.500000,0.000000,169,169,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
9,30400,8.000,0.400,0.000,2,950,0.000000,0.000000,1.000000,0,0,,
9,30400,8.000,0.400,0.000,3,950,0.598039,0.401961,0.000000,169,142,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
9,30400,8.000,0.400,0.000,4,2850,0.500000,0.500000,0.000000,169,169,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
9,30400,8.000,0.400,0.250,0,950,0.000000,0.081448,0.918552,0,15,,KK|QQ|AA|KQo|AQo
9,30400,8.000,0.400,0.250,1,950,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
9,30400,8.000,0.400,0.250,2,950,0.000000,0.000000,1.000000,0,0,,
9,30400,8.000,0.400,0.250,3,950,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
9,30400,8.000,0.400,0.250,4,2850,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
9,38000,10.000,0.400,0.000,0,950,0.040724,0.040724,0.918552,15,15,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
9,38000,10.000,0.400,0.000,1,950,0.598039,0.401961,0.000000,169,142,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
9,38000,10.000,0.400,0.000,2,950,0.000000,0.000000,1.000000,0,0,,
9,38000,10.000,0.400,0.000,3,950,0.598039,0.401961,0.000000,169,142,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
9,38000,10.000,0.400,0.000,4,2850,0.839367,0.160633,0.000000,169,56,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
9,38000,10.000,0.400,0.250,0,950,0.000000,0.081448,0.918552,0,15,,KK|QQ|AA|KQo|AQo
9,38000,10.000,0.400,0.250,1,950,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
9,38000,10.000,0.400,0.250,2,950,0.000000,0.000000,1.000000,0,0,,
9,38000,10.000,0.400,0.250,3,950,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
9,38000,10.000,0.400,0.250,4,2850,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
10,17100,3.000,0.400,0.000,0,1400,0.040724,0.040724,0.918552,15,15,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
10,17100,3.000,0.400,0.000,1,1400,0.500000,0.500000,0.000000,169,169,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
10,17100,3.000,0.400,0.000,2,1400,0.000000,0.000000,1.000000,0,0,,
10,17100,3.000,0.400,0.000,3,1400,0.500000,0.500000,0.000000,169,169,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
10,17100,3.000,0.400,0.000,4,4250,0.500000,0.500000,0.000000,169,169,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
10,17100,3.000,0.400,0.250,0,1400,0.000000,0.081448,0.918552,0,15,,KK|QQ|AA|KQo|AQo
10,17100,3.000,0.400,0.250,1,1400,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
10,17100,3.000,0.400,0.250,2,1400,0.000000,0.000000,1.000000,0,0,,
10,17100,3.000,0.400,0.250,3,1400,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
10,17100,3.000,0.400,0.250,4,4250,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
10,22800,4.000,0.400,0.000,0,1400,0.598039,0.401961,0.000000,169,142,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
10,22800,4.000,0.400,0.000,1,1400,0.598039,0.401961,0.000000,169,142,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
10,22800,4.000,0.400,0.000,2,1400,0.598039,0.401961,0.000000,169,142,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
10,22800,4.000,0.400,0.000,3,1400,0.382353,0.382353,0.235294,135,135,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
10,22800,4.000,0.400,0.000,4,4250,0.000000,0.000000,1.000000,0,0,,
10,22800,4.000,0.400,0.250,0,1400,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
10,22800,4.000,0.400,0.250,1,1400,0.000000,0.822021,0.177979,0,146,,KK|QQ|AA|KQo|AQo
10,22800,4.000,0.400,0.250,2,1400,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
10,22800,4.000,0.400,0.250,3,1400,0.000000,0.764706,0.235294,0,135,,KK|QQ|AA|KQo|AQo
10,22800,4.000,0.400,0.250,4,4250,0.000000,0.000000,1.000000,0,0,,
10,28500,5.000,0.400,0.000,0,1400,0.175716,0.175716,0.648567,62,62,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
10,28500,5.000,0.400,0.000,1,1400,0.500000,0.500000,0.000000,169,169,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
10,28500,5.000,0.400,0.000,2,1400,0.000000,0.000000,1.000000,0,0,,
10,28500,5.000,0.400,0.000,3,1400,0.500000,0.500000,0.000000,169,169,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
10,28500,5.000,0.400,0.000,4,4250,0.500000,0.500000,0.000000,169,169,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
10,28500,5.000,0.400,0.250,0,1400,0.000000,0.351433,0.648567,0,62,,KK|QQ|AA|KQo|AQo
10,28500,5.000,0.400,0.250,1,1400,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
10,28500,5.000,0.400,0.250,2,1400,0.000000,0.000000,1.000000,0,0,,
10,28500,5.000,0.400,0.250,3,1400,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
10,28500,5.000,0.400,0.250,4,4250,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
10,34200,6.000,0.400,0.000,0,1400,0.040724,0.040724,0.918552,15,15,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
10,34200,6.000,0.400,0.000,1,1400,0.500000,0.500000,0.000000,169,169,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
10,34200,6.000,0.400,0.000,2,1400,0.000000,0.000000,1.000000,0,0,,
10,34200,6.000,0.400,0.000,3,1400,0.598039,0.401961,0.000000,169,142,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
10,34200,6.000,0.400,0.000,4,4250,0.500000,0.500000,0.000000,169,169,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
10,34200,6.000,0.400,0.250,0,1400,0.000000,0.081448,0.918552,0,15,,KK|QQ|AA|KQo|AQo
10,34200,6.000,0.400,0.250,1,1400,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
10,34200,6.000,0.400,0.250,2,1400,0.000000,0.000000,1.000000,0,0,,
10,34200,6.000,0.400,0.250,3,1400,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
10,34200,6.000,0.400,0.250,4,4250,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
10,45600,8.000,0.400,0.000,0,1400,0.040724,0.040724,0.918552,15,15,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
10,45600,8.000,0.400,0.000,1,1400,0.500000,0.500000,0.000000,169,169,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
10,45600,8.000,0.400,0.000,2,1400,0.000000,0.000000,1.000000,0,0,,
10,45600,8.000,0.400,0.000,3,1400,0.500000,0.500000,0.000000,169,169,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
10,45600,8.000,0.400,0.000,4,4250,0.500000,0.500000,0.000000,169,169,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
10,45600,8.000,0.400,0.250,0,1400,0.000000,0.081448,0.918552,0,15,,KK|QQ|AA|KQo|AQo
10,45600,8.000,0.400,0.250,1,1400,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
10,45600,8.000,0.400,0.250,2,1400,0.000000,0.000000,1.000000,0,0,,
10,45600,8.000,0.400,0.250,3,1400,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
10,45600,8.000,0.400,0.250,4,4250,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
10,57000,10.000,0.400,0.000,0,1400,0.040724,0.040724,0.918552,15,15,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
10,57000,10.000,0.400,0.000,1,1400,0.598039,0.401961,0.000000,169,142,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
10,57000,10.000,0.400,0.000,2,1400,0.000000,0.000000,1.000000,0,0,,
10,57000,10.000,0.400,0.000,3,1400,0.598039,0.401961,0.000000,169,142,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
10,57000,10.000,0.400,0.000,4,4250,0.839367,0.160633,0.000000,169,56,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
10,57000,10.000,0.400,0.250,0,1400,0.000000,0.081448,0.918552,0,15,,KK|QQ|AA|KQo|AQo
10,57000,10.000,0.400,0.250,1,1400,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
10,57000,10.000,0.400,0.250,2,1400,0.000000,0.000000,1.000000,0,0,,
10,57000,10.000,0.400,0.250,3,1400,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
10,57000,10.000,0.400,0.250,4,4250,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
